QTo-W-0005	149	149	173	179	220	220	-9	-9	-9	-9	-9	-9	108	108	162	162	229	229
QTo-W-0007	149	149	179	179	220	222	137	137	187	187	-9	-9	108	108	160	162	229	229
QTo-W-0009	149	149	176	176	218	226	137	137	243	243	214	222	108	116	160	162	226	229
QTo-W-0010	149	149	164	173	218	220	137	137	203	203	206	214	108	108	160	162	226	229
QTo-W-0011	149	149	176	176	218	220	137	137	243	243	214	222	108	108	160	162	226	229
QTo-W-0012	149	149	173	173	218	218	-9	-9	203	203	206	218	-9	-9	160	162	226	229
QTo-W-0013	149	149	173	173	218	256	137	137	203	203	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0014	-9	-9	-9	-9	-9	-9	137	137	203	203	204	204	-9	-9	-9	-9	-9	-9
QTo-W-0016	149	149	-9	-9	222	226	137	137	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0019	149	149	179	179	218	226	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0020	149	149	-9	-9	226	226	-9	-9	203	203	208	216	110	110	162	162	229	229
QTo-W-0021	149	149	179	179	222	226	137	137	-9	-9	-9	-9	108	110	162	162	229	229
QTo-W-0022	149	149	179	179	222	226	-9	-9	-9	-9	-9	-9	-9	-9	162	162	-9	-9
QTo-W-0023	149	149	179	179	218	226	137	137	-9	-9	216	238	-9	-9	162	162	229	229
QTo-W-0024	149	149	179	179	218	258	137	137	201	201	-9	-9	108	110	162	162	226	229
QTo-W-0025	149	149	179	182	226	226	-9	-9	-9	-9	-9	-9	108	108	160	162	226	229
QTo-W-0028	149	149	179	182	226	226	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0031	149	149	179	182	226	228	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0033	149	149	173	173	220	224	137	137	197	197	208	222	108	114	162	164	223	229
QTo-W-0035	149	149	173	173	220	224	137	137	197	197	-9	-9	108	114	162	164	223	229
QTo-W-0036	149	149	173	173	220	224	137	137	197	197	204	204	108	114	162	164	223	229
