QTo-W-0025	2	149	149	179	182	226	226	-9	-9	-9	-9	-9	-9	108	108	160	162	226	229
QTo-W-0028	2	149	149	179	182	226	226	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0031	2	149	149	179	182	226	228	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0033	2	149	149	173	173	220	224	137	137	197	197	208	222	108	114	162	164	223	229
QTo-W-0035	2	149	149	173	173	220	224	137	137	197	197	-9	-9	108	114	162	164	223	229
QTo-W-0036	2	149	149	173	173	220	224	137	137	197	197	204	204	108	114	162	164	223	229
QTo-W-0037	2	149	149	173	173	220	224	137	137	197	197	-9	-9	108	114	162	164	223	229
QTo-W-0039	2	149	149	179	179	222	228	137	137	187	201	-9	-9	108	108	162	162	229	229
QTo-W-0040	2	149	149	179	179	222	228	137	137	187	201	-9	-9	108	108	162	162	229	229
QTo-W-0041	2	149	149	179	179	222	228	137	137	187	201	234	242	108	108	162	162	229	229
QTo-W-0044	2	149	149	176	176	220	226	137	137	195	195	210	222	108	116	162	162	226	226
QTo-W-0047	2	149	149	176	176	218	220	137	137	247	247	214	222	108	108	160	162	226	229
QTo-W-0048	2	149	149	176	176	218	220	137	137	243	243	-9	-9	108	108	160	162	226	229
QTo-W-0049	2	149	149	173	173	218	220	137	137	203	203	206	214	108	108	160	162	226	229
QTo-W-0050	2	149	149	173	182	224	226	137	137	-9	-9	-9	-9	108	108	162	162	226	229
QTo-W-0052	2	147	147	176	176	220	220	137	137	195	195	210	218	108	108	162	162	223	229
QTo-W-0054	2	149	149	173	173	218	218	137	137	203	203	206	218	108	108	160	162	226	229
QTo-W-0055	2	149	149	173	173	218	218	137	137	203	203	206	218	108	108	160	162	226	229
QTo-W-0056	2	149	149	173	176	218	218	137	137	203	203	206	214	108	108	160	160	226	229
QTo-W-0057	2	149	149	173	176	218	220	137	137	203	203	206	222	108	108	160	162	226	226
QTo-W-0058	2	149	149	173	173	218	256	137	137	203	203	218	218	108	108	160	162	226	229
QTo-W-0059	2	149	149	173	176	218	226	137	137	195	203	206	210	108	108	160	162	226	229
QTo-W-0060	2	149	149	173	176	218	218	137	137	203	203	218	222	108	108	160	162	226	229
QTo-W-0061	2	149	149	179	179	228	256	137	137	203	203	218	246	108	108	162	162	226	229
QTo-W-0062	2	149	149	173	173	218	256	137	137	203	203	-9	-9	108	108	160	162	226	229
QTo-W-0063	2	149	149	173	173	218	256	137	137	203	203	-9	-9	108	108	160	162	226	229
QTo-W-0064	2	149	149	173	173	218	256	137	137	203	203	-9	-9	108	108	160	162	226	229
QTo-W-0065	2	149	149	179	179	218	256	137	137	203	203	-9	-9	108	108	160	162	226	229
QTo-W-0067	2	149	149	176	179	218	256	137	137	203	203	218	222	108	108	162	162	229	229
QTo-W-0071	2	149	149	179	179	222	258	137	137	187	187	222	258	108	108	162	162	226	229
QTo-W-0072	2	149	149	179	179	226	226	137	137	187	187	210	238	108	110	162	162	229	229
QTo-W-0073	2	149	149	-9	-9	-9	-9	137	137	201	203	-9	-9	108	110	162	162	229	229
QTo-W-0075	2	149	149	179	179	226	226	137	137	201	201	210	216	108	108	162	162	229	229
QTo-W-0076	2	149	149	179	179	222	226	137	137	197	201	-9	-9	108	110	162	162	226	229
QTo-W-0077	2	149	149	173	179	218	226	137	137	201	243	-9	-9	108	108	162	162	229	229
QTo-W-0078	2	149	149	173	179	222	226	-9	-9	-9	-9	-9	-9	108	108	162	162	226	229
QTo-W-0079	2	149	149	179	179	226	226	137	137	203	203	208	216	110	110	162	162	229	229
QTo-W-0080	2	149	149	-9	-9	218	222	137	137	203	235	218	234	108	110	162	162	229	229
QTo-W-0081	2	149	149	179	179	218	222	137	137	197	201	-9	-9	108	110	162	162	229	229
QTo-W-0082	2	149	149	179	179	222	226	137	137	203	203	208	258	108	110	162	162	226	229
QTo-W-0087	2	149	149	179	179	218	226	137	137	201	203	216	238	108	110	162	162	229	229
QTo-W-0088	2	149	149	179	179	218	226	137	137	201	203	-9	-9	108	110	162	162	229	229
QTo-W-0089	2	149	149	179	179	222	226	137	137	197	201	-9	-9	108	110	162	162	229	229
QTo-W-0090	2	149	149	179	179	222	226	137	137	197	201	222	240	108	110	162	162	229	229
QTo-W-0091	2	149	149	179	179	222	226	137	137	197	201	222	240	108	110	162	162	229	229
QTo-W-0093	2	149	149	179	182	226	228	137	137	201	203	-9	-9	108	108	162	162	226	226
QTo-W-0097	2	149	149	179	182	226	228	137	137	201	203	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0098	2	149	149	179	182	226	226	137	137	187	187	238	238	108	108	160	162	226	229
QTo-W-0099	2	149	149	179	182	226	226	137	137	187	187	238	238	108	108	160	162	226	229
QTo-W-0100	2	149	149	179	182	226	226	137	137	187	187	238	238	108	108	160	162	226	229
QTo-W-0101	2	149	149	179	182	226	226	137	137	187	187	-9	-9	108	108	160	162	226	229
QTo-W-0102	2	149	149	179	182	226	226	137	137	187	187	238	238	108	108	160	162	226	229
QTo-W-0103	2	149	149	179	182	226	226	137	137	187	187	238	238	108	108	160	162	226	229
QTo-W-0104	2	149	149	179	182	226	226	137	137	187	187	238	238	108	108	160	162	226	229
QTo-W-0105	2	149	149	179	182	226	226	137	137	187	187	238	238	108	108	160	162	226	229
QTo-W-0106	2	149	149	179	182	226	226	137	137	187	187	238	238	108	108	160	162	226	229
QTo-W-0107	2	149	149	179	182	226	226	-9	-9	-9	-9	-9	-9	-9	-9	160	162	226	229
QTo-W-0108	2	149	149	179	182	226	226	137	137	187	187	238	238	108	108	160	162	226	229
QTo-W-0110	2	149	149	179	182	226	226	137	137	187	187	-9	-9	-9	-9	-9	-9	-9	-9
QTo-W-0111	2	149	149	179	182	226	226	137	137	187	187	-9	-9	108	108	160	162	226	229
