10,295,3,99,103,93,,,,,,,,,,,,,,,,
,,,Psek1in_101,Psek2in_103,Psekex_044,,,,,,,,,,,,,,,,
Ind,Pop,pse2_1, ,pse3_11, ,pse3_33b, ,pse3_34b, ,pse3_6, ,pse5_2, ,pse5_4, ,pse5_5, ,pse5_6, ,pse7_26b, 
"Psek1in_047","Psek1in_101","464","452","458","458","264","264","218","218","214","217","448","456","348","348","246","241","370","370","307","307"
"Psek1in_048","Psek1in_101","464","462","458","458","264","264","218","218","212","212","475","450","348","348","241","241","364","368","293","290"
"Psek1in_049","Psek1in_101","466","466","458","458","264","264","218","218","215","215","456","456","348","348","243","241","370","368","293","307"
"Psek1in_050","Psek1in_101","464","452","458","458","264","264","218","218","214","217","475","452","348","348","246","246","370","368","293","307"
"Psek1in_051","Psek1in_101","464","464","458","458","264","264","218","218","212","212","475","450","348","348","246","246","364","368","0","0"
"Psek1in_052","Psek1in_101","452","452","458","458","264","264","218","218","221","217","456","456","348","348","248","248","364","370","290","290"
"Psek1in_053","Psek1in_101","464","464","458","458","264","264","218","218","214","217","452","452","348","348","246","246","364","370","293","290"
"Psek1in_054","Psek1in_101","462","452","458","458","264","264","218","218","219","223","456","450","348","348","248","248","364","364","290","307"
"Psek1in_055","Psek1in_101","466","460","458","458","264","264","218","218","214","217","456","463","348","348","248","248","370","370","290","290"
"Psek1in_056","Psek1in_101","464","462","458","458","264","264","218","218","212","192","456","456","348","348","246","246","370","368","290","290"
"Psek1in_057","Psek1in_101","452","466","458","458","264","264","0","0","179","215","456","456","348","348","246","246","368","368","293","290"
"Psek1in_058","Psek1in_101","462","462","458","458","264","264","218","218","210","210","456","456","348","348","246","246","364","370","290","290"
"Psek1in_059","Psek1in_101","464","452","458","458","264","264","218","218","217","217","451","451","348","348","246","241","364","368","293","293"
"Psek1in_060","Psek1in_101","464","466","458","458","264","264","218","218","214","217","475","449","348","348","246","241","364","368","0","0"
"Psek1in_061","Psek1in_101","466","466","458","458","264","264","218","218","212","192","456","477","348","348","246","241","370","368","290","290"
"Psek1in_062","Psek1in_101","464","462","458","458","264","264","218","218","210","217","475","456","348","348","246","246","364","364","290","290"
"Psek1in_06","Psek1in_101","464","464","458","458","264","264","218","218","179","212","456","456","348","348","241","254","368","368","293","290"
"Psek1in_064","Psek1in_101","464","452","458","458","264","264","218","218","215","192","475","456","348","348","246","246","364","370","293","307"
"Psek1in_065","Psek1in_101","462","452","458","458","264","264","218","218","179","212","475","463","348","348","246","246","364","370","293","290"
"Psek1in_066","Psek1in_101","464","466","458","458","264","264","218","218","210","215","456","450","348","348","248","248","370","368","290","290"
"Psek1in_067","Psek1in_101","464","466","458","458","264","264","218","218","210","215","456","452","348","348","246","246","364","368","293","290"
"Psek1in_068","Psek1in_101","464","466","458","458","264","264","218","218","214","217","475","452","348","348","241","241","364","368","290","290"
"Psek1in_069","Psek1in_101","452","466","458","458","264","264","218","218","221","208","475","456","348","348","248","241","364","368","290","290"
"Psek1in_071","Psek1in_101","464","466","458","458","264","264","218","218","214","217","456","456","348","348","246","241","364","364","293","293"
"Psek1in_072","Psek1in_101","464","452","458","458","264","264","218","218","212","192","475","452","348","348","248","248","370","370","293","307"
"Psek1in_073","Psek1in_101","464","452","458","458","264","264","218","218","221","221","456","456","348","348","246","246","370","370","293","290"
"Psek1in_074","Psek1in_101","464","460","458","458","264","264","218","218","221","217","456","452","348","348","248","248","370","370","293","293"
"Psek1in_075","Psek1in_101","464","464","458","458","264","264","218","218","221","212","456","449","348","348","246","246","370","368","307","307"
"Psek1in_076","Psek1in_101","464","452","458","458","264","264","218","218","216","216","456","456","348","348","248","248","364","370","293","293"
"Psek1in_077","Psek1in_101","464","462","458","458","264","266","218","218","221","212","452","458","348","348","246","246","370","370","293","293"
"Psek1in_078","Psek1in_101","452","466","458","458","264","264","218","218","221","217","475","456","348","348","248","241","368","368","290","290"
"Psek1in_079","Psek1in_101","464","464","458","458","264","264","218","218","214","217","456","449","348","348","248","248","364","370","293","290"
"Psek1in_080","Psek1in_101","464","462","458","458","264","264","218","218","215","215","456","449","348","348","246","246","364","368","293","290"
"Psek1in_081","Psek1in_101","464","452","458","458","264","264","218","218","221","217","475","456","348","348","246","241","370","368","293","290"
"Psek1in_082","Psek1in_101","452","452","458","458","264","264","218","218","221","217","456","452","348","348","241","250","364","370","290","307"
"Psek1in_083","Psek1in_101","464","466","458","458","264","264","218","218","221","217","456","449","348","348","248","241","364","368","293","293"
"Psek1in_084","Psek1in_101","464","466","458","458","264","264","218","218","221","179","456","451","348","348","246","246","364","370","290","290"
"Psek1in_085","Psek1in_101","464","452","458","458","264","264","218","218","221","217","456","456","348","348","246","246","370","368","290","290"
"Psek1in_086","Psek1in_101","464","466","458","458","264","264","218","218","212","212","475","456","348","348","248","241","364","368","293","293"
"Psek1in_087","Psek1in_101","464","464","458","458","264","264","218","218","215","192","456","449","348","348","246","246","370","370","293","293"
"Psek1in_088","Psek1in_101","464","452","458","458","264","264","218","218","221","221","0","0","348","348","246","246","370","368","293","290"
"Psek1in_089","Psek1in_101","464","462","458","458","264","264","218","218","217","217","448","456","348","348","246","246","364","368","293","293"
"Psek1in_090","Psek1in_101","464","462","458","458","264","264","218","218","218","218","456","452","348","348","246","241","364","370","293","307"
"Psek1in_091","Psek1in_101","464","462","458","458","264","264","218","218","214","217","456","452","348","348","248","243","370","370","0","0"
"Psek1in_092","Psek1in_101","464","452","458","458","264","264","218","218","210","217","456","452","348","348","248","248","0","0","293","290"
"Psek1in_093","Psek1in_101","462","466","458","458","264","264","218","218","210","210","456","456","348","348","241","241","370","370","290","290"
"Psek1in_094","Psek1in_101","464","462","458","458","264","264","218","218","210","215","475","456","348","348","241","284","370","370","293","290"
"Psek1in_095","Psek1in_101","464","452","458","458","264","264","218","218","217","217","473","473","348","348","246","241","370","370","290","307"
"Psek1in_096","Psek1in_101","464","452","458","458","264","264","218","218","214","217","475","456","348","348","246","241","364","368","290","307"
"Psek1in_097","Psek1in_101","0","0","0","0","264","264","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Psek1in_098","Psek1in_101","462","460","458","458","264","264","218","218","215","215","456","452","348","348","246","246","370","370","290","290"
"Psek1in_099","Psek1in_101","464","464","458","458","264","264","218","218","214","217","455","455","348","348","248","225","0","0","290","290"
"Psek1in_100","Psek1in_101","464","452","458","458","264","264","218","218","221","217","475","450","348","348","246","246","364","368","293","293"
"Psek1in_101","Psek1in_101","462","462","452","452","264","264","218","218","214","217","455","475","348","348","248","248","364","370","293","290"
"Psek2in_001","Psek2in_103","0","0","458","458","264","264","218","218","212","212","475","475","348","348","248","248","368","368","290","290"
"Psek2in_002","Psek2in_103","452","452","458","458","264","264","218","218","219","223","452","452","348","348","246","246","0","0","290","290"
"Psek2in_003","Psek2in_103","464","466","458","458","264","264","218","218","221","217","475","452","348","348","246","246","364","368","290","307"
"Psek2in_004","Psek2in_103","464","462","458","458","264","264","218","218","221","221","475","450","348","348","246","246","370","368","290","290"
"Psek2in_005","Psek2in_103","466","466","458","458","264","264","218","218","212","212","456","456","348","348","246","246","364","370","290","290"
"Psek2in_006","Psek2in_103","464","466","458","458","264","264","218","218","214","217","456","452","348","348","246","246","370","368","293","290"
"Psek2in_007","Psek2in_103","464","452","458","458","264","264","218","218","221","192","477","452","348","348","248","248","364","368","290","290"
"Psek2in_008","Psek2in_103","464","464","458","458","264","264","218","218","221","212","455","477","348","348","246","246","370","368","290","290"
"Psek2in_009","Psek2in_103","0","0","458","458","264","264","218","218","212","192","448","448","348","348","250","250","364","370","290","290"
"Psek2in_010","Psek2in_103","462","462","458","458","264","264","218","218","219","223","456","450","348","348","248","248","364","368","293","290"
"Psek2in_011","Psek2in_103","462","466","458","458","264","264","218","218","221","221","475","475","348","348","246","246","370","368","290","290"
"Psek2in_012","Psek2in_103","464","452","458","458","264","264","218","218","210","210","475","452","348","348","246","246","370","368","290","290"
"Psek2in_013","Psek2in_103","462","462","458","458","264","264","218","218","221","212","475","452","348","348","246","246","364","370","293","290"
"Psek2in_014","Psek2in_103","462","452","458","458","264","264","218","218","221","212","475","456","348","348","246","246","370","368","290","290"
"Psek2in_015","Psek2in_103","452","466","458","458","264","264","218","218","212","212","456","456","348","348","246","246","368","368","293","290"
"Psek2in_016","Psek2in_103","452","452","458","458","264","264","218","218","221","221","456","456","348","348","246","241","370","368","293","290"
"Psek2in_017","Psek2in_103","464","452","458","458","264","264","218","218","212","212","475","475","348","348","248","241","0","0","290","290"
"Psek2in_018","Psek2in_103","464","462","458","458","264","264","218","218","221","221","456","452","348","348","246","246","0","0","293","290"
"Psek2in_019","Psek2in_103","464","466","458","458","264","264","218","218","221","221","475","456","348","348","246","246","370","368","290","290"
"Psek2in_020","Psek2in_103","462","452","458","458","264","264","218","218","221","221","475","452","348","348","246","246","364","370","290","290"
"Psek2in_021","Psek2in_103","464","464","458","458","264","264","218","218","210","221","452","452","348","348","246","241","364","368","293","290"
"Psek2in_022","Psek2in_103","464","464","458","458","264","264","218","218","221","208","473","473","348","348","246","246","366","366","290","290"
"Psek2in_023","Psek2in_103","452","466","458","458","264","264","218","218","221","221","475","456","348","348","246","246","370","368","293","290"
"Psek2in_024","Psek2in_103","452","452","458","458","264","264","218","218","212","212","475","475","348","348","246","246","364","368","290","290"
"Psek2in_025","Psek2in_103","464","452","458","458","264","264","218","218","221","192","456","456","348","348","246","238","370","368","293","290"
"Psek2in_026","Psek2in_103","464","462","452","452","264","264","218","218","221","212","475","456","348","348","248","248","370","368","293","290"
"Psek2in_027","Psek2in_103","464","466","458","458","264","264","218","218","221","192","475","456","348","348","246","246","370","368","290","307"
"Psek2in_028","Psek2in_103","464","466","458","458","264","264","218","218","210","214","456","452","348","348","246","246","370","368","290","290"
"Psek2in_029","Psek2in_103","452","452","458","458","264","264","218","218","221","212","475","450","348","348","248","248","368","368","293","293"
"Psek2in_030","Psek2in_103","462","452","458","458","264","264","218","218","214","217","450","450","348","348","246","246","370","368","293","290"
"Psek2in_031","Psek2in_103","464","462","458","458","264","264","218","218","221","221","475","452","348","348","246","246","370","368","293","290"
